employeeNumber,date,timeIn,timeOut
10006,2024-06-11,08:00,17:00
10006,2024-06-12,08:00,17:00
10006,2024-06-13,08:00,17:00
10006,2024-06-14,08:00,17:00
10007,2024-06-03,08:00,17:00
10007,2024-06-04,08:00,17:00
10007,2024-06-05,08:00,17:00
10007,2024-06-06,08:00,17:00
10007,2024-06-07,08:00,17:00
10007,2024-06-10,08:00,17:00
10007,2024-06-11,08:00,17:00
10007,2024-06-12,08:00,17:00
10007,2024-06-13,08:00,17:00
10007,2024-06-14,08:00,17:00
10008,2024-06-03,08:00,17:00
10008,2024-06-04,08:00,17:00
10008,2024-06-05,08:00,17:00
10008,2024-06-06,08:00,17:00
10008,2024-06-07,08:00,17:00
10008,2024-06-10,08:00,17:00
10008,2024-06-11,08:00,17:00
10008,2024-06-12,08:00,17:00
10008,2024-06-13,08:00,17:00
10008,2024-06-14,08:00,17:00
10009,2024-06-03,08:00,17:00
10009,2024-06-04,08:00,17:00
10009,2024-06-05,08:00,17:00
10009,2024-06-06,08:00,17:00
10009,2024-06-07,08:00,17:00
10009,2024-06-10,08:00,17:00
10009,2024-06-11,08:00,17:00
10009,2024-06-12,08:00,17:00
10009,2024-06-13,08:00,17:00
10009,2024-06-14,08:00,17:00
10010,2024-06-03,08:00,17:00
10010,2024-06-04,08:00,17:00
10010,2024-06-05,08:00,17:00
10010,2024-06-06,08:00,17:00
10010,2024-06-07,08:00,17:00
10010,2024-06-10,08:00,17:00
10010,2024-06-11,08:00,17:00
10010,2024-06-12,08:00,17:00
10010,2024-06-13,08:00,17:00
10010,2024-06-14,08:00,17:00
10011,2024-06-03,08:00,17:00
10011,2024-06-04,08:00,17:00
10011,2024-06-05,08:00,17:00
10011,2024-06-06,08:00,17:00
10011,2024-06-07,08:00,17:00
10011,2024-06-10,08:00,17:00
10011,2024-06-11,08:00,17:00
10011,2024-06-12,08:00,17:00
10011,2024-06-13,08:00,17:00
10011,2024-06-14,08:00,17:00
10012,2024-06-03,08:00,17:00
10012,2024-06-04,08:00,17:00
10012,2024-06-05,08:00,17:00
10012,2024-06-06,08:00,17:00
10012,2024-06-07,08:00,17:00
10012,2024-06-10,08:00,17:00
10012,2024-06-11,08:00,17:00
10012,2024-06-12,08:00,17:00
10012,2024-06-13,08:00,17:00
10012,2024-06-14,08:00,17:00
10013,2024-06-03,08:00,17:00
10013,2024-06-04,08:00,17:00
10013,2024-06-05,08:00,17:00
10013,2024-06-06,08:00,17:00
10013,2024-06-07,08:00,17:00
10013,2024-06-10,08:00,17:00
10013,2024-06-11,08:00,17:00
10013,2024-06-12,08:00,17:00
10013,2024-06-13,08:00,17:00
10013,2024-06-14,08:00,17:00
10014,2024-06-03,08:00,17:00
10014,2024-06-04,08:00,17:00
10014,2024-06-05,08:00,17:00
10014,2024-06-06,08:00,17:00
10014,2024-06-07,08:00,17:00
10014,2024-06-10,08:00,17:00
10014,2024-06-11,08:00,17:00
10014,2024-06-12,08:00,17:00
10014,2024-06-13,08:00,17:00
10014,2024-06-14,08:00,17:00
10015,2024-06-03,08:00,17:00
10015,2024-06-04,08:00,17:00
10015,2024-06-05,08:00,17:00
10015,2024-06-06,08:00,17:00
10015,2024-06-07,08:00,17:00
10015,2024-06-10,08:00,17:00
10015,2024-06-11,08:00,17:00
10015,2024-06-12,08:00,17:00
10015,2024-06-13,08:00,17:00
10015,2024-06-14,08:00,17:00
10016,2024-06-03,08:00,17:00
10016,2024-06-04,08:00,17:00
10016,2024-06-05,08:00,17:00
10016,2024-06-06,08:00,17:00
10016,2024-06-07,08:00,17:00
10016,2024-06-10,08:00,17:00
10016,2024-06-11,08:00,17:00
10016,2024-06-12,08:00,17:00
10016,2024-06-13,08:00,17:00
10016,2024-06-14,08:00,17:00
10017,2024-06-03,08:00,17:00
10017,2024-06-04,08:00,17:00
10017,2024-06-05,08:00,17:00
10017,2024-06-06,08:00,17:00
10017,2024-06-07,08:00,17:00
10017,2024-06-10,08:00,17:00
10017,2024-06-11,08:00,17:00
10017,2024-06-12,08:00,17:00
10017,2024-06-13,08:00,17:00
10017,2024-06-14,08:00,17:00
10018,2024-06-03,08:00,17:00
10018,2024-06-04,08:00,17:00
10018,2024-06-05,08:00,17:00
10018,2024-06-06,08:00,17:00
10018,2024-06-07,08:00,17:00
10018,2024-06-10,08:00,17:00
10018,2024-06-11,08:00,17:00
10018,2024-06-12,08:00,17:00
10018,2024-06-13,08:00,17:00
10018,2024-06-14,08:00,17:00
10019,2024-06-03,08:00,17:00
10019,2024-06-04,08:00,17:00
10019,2024-06-05,08:00,17:00
10019,2024-06-06,08:00,17:00
10019,2024-06-07,08:00,17:00
10019,2024-06-10,08:00,17:00
10019,2024-06-11,08:00,17:00
10019,2024-06-12,08:00,17:00
10019,2024-06-13,08:00,17:00
10019,2024-06-14,08:00,17:00
10020,2024-06-03,08:00,17:00
10020,2024-06-04,08:00,17:00
10020,2024-06-05,08:00,17:00
10020,2024-06-06,08:00,17:00
10020,2024-06-07,08:00,17:00
10020,2024-06-10,08:00,17:00
10020,2024-06-11,08:00,17:00
10020,2024-06-12,08:00,17:00
10020,2024-06-13,08:00,17:00
10020,2024-06-14,08:00,17:00
10021,2024-06-03,08:00,17:00
10021,2024-06-04,08:00,17:00
10021,2024-06-05,08:00,17:00
10021,2024-06-06,08:00,17:00
10021,2024-06-07,08:00,17:00
10021,2024-06-10,08:00,17:00
10021,2024-06-11,08:00,17:00
10021,2024-06-12,08:00,17:00
10021,2024-06-13,08:00,17:00
10021,2024-06-14,08:00,17:00
10022,2024-06-03,08:00,17:00
10022,2024-06-04,08:00,17:00
10022,2024-06-05,08:00,17:00
10022,2024-06-06,08:00,17:00
10022,2024-06-07,08:00,17:00
10022,2024-06-10,08:00,17:00
10022,2024-06-11,08:00,17:00
10022,2024-06-12,08:00,17:00
10022,2024-06-13,08:00,17:00
10022,2024-06-14,08:00,17:00
10023,2024-06-03,08:00,17:00
10023,2024-06-04,08:00,17:00
10023,2024-06-05,08:00,17:00
10023,2024-06-06,08:00,17:00
10023,2024-06-07,08:00,17:00
10023,2024-06-10,08:00,17:00
10023,2024-06-11,08:00,17:00
10023,2024-06-12,08:00,17:00
10023,2024-06-13,08:00,17:00
10023,2024-06-14,08:00,17:00
10024,2024-06-03,08:00,17:00
10024,2024-06-04,08:00,17:00
10024,2024-06-05,08:00,17:00
10024,2024-06-06,08:00,17:00
10024,2024-06-07,08:00,17:00
10024,2024-06-10,08:00,17:00
10024,2024-06-11,08:00,17:00
10024,2024-06-12,08:00,17:00
10024,2024-06-13,08:00,17:00
10024,2024-06-14,08:00,17:00
10025,2024-06-03,08:00,17:00
10025,2024-06-04,08:00,17:00
10025,2024-06-05,08:00,17:00
10025,2024-06-06,08:00,17:00
10025,2024-06-07,08:00,17:00
10025,2024-06-10,08:00,17:00
10025,2024-06-11,08:00,17:00
10025,2024-06-12,08:00,17:00
10025,2024-06-13,08:00,17:00
10025,2024-06-14,08:00,17:00
10026,2024-06-03,08:00,17:00
10026,2024-06-04,08:00,17:00
10026,2024-06-05,08:00,17:00
10026,2024-06-06,08:00,17:00
10026,2024-06-07,08:00,17:00
10026,2024-06-10,08:00,17:00
10026,2024-06-11,08:00,17:00
10026,2024-06-12,08:00,17:00
10026,2024-06-13,08:00,17:00
10026,2024-06-14,08:00,17:00
10027,2024-06-03,08:00,17:00
10027,2024-06-04,08:00,17:00
10027,2024-06-05,08:00,17:00
10027,2024-06-06,08:00,17:00
10027,2024-06-07,08:00,17:00
10027,2024-06-10,08:00,17:00
10027,2024-06-11,08:00,17:00
10027,2024-06-12,08:00,17:00
10027,2024-06-13,08:00,17:00
10027,2024-06-14,08:00,17:00
10028,2024-06-03,08:00,17:00
10028,2024-06-04,08:00,17:00
10028,2024-06-05,08:00,17:00
10028,2024-06-06,08:00,17:00
10028,2024-06-07,08:00,17:00
10028,2024-06-10,08:00,17:00
10028,2024-06-11,08:00,17:00
10028,2024-06-12,08:00,17:00
10028,2024-06-13,08:00,17:00
10028,2024-06-14,08:00,17:00
10029,2024-06-03,08:00,17:00
10029,2024-06-04,08:00,17:00
10029,2024-06-05,08:00,17:00
10029,2024-06-06,08:00,17:00
10029,2024-06-07,08:00,17:00
10029,2024-06-10,08:00,17:00
10029,2024-06-11,08:00,17:00
10029,2024-06-12,08:00,17:00
10029,2024-06-13,08:00,17:00
10029,2024-06-14,08:00,17:00
10030,2024-06-03,08:00,17:00
10030,2024-06-04,08:00,17:00
10030,2024-06-05,08:00,17:00
10030,2024-06-06,08:00,17:00
10030,2024-06-07,08:00,17:00
10030,2024-06-10,08:00,17:00
10030,2024-06-11,08:00,17:00
10030,2024-06-12,08:00,17:00
10030,2024-06-13,08:00,17:00
10030,2024-06-14,08:00,17:00
10031,2024-06-03,08:00,17:00
10031,2024-06-04,08:00,17:00
10031,2024-06-05,08:00,17:00
10031,2024-06-06,08:00,17:00
10031,2024-06-07,08:00,17:00
10031,2024-06-10,08:00,17:00
10031,2024-06-11,08:00,17:00
10031,2024-06-12,08:00,17:00
10031,2024-06-13,08:00,17:00
10031,2024-06-14,08:00,17:00
10032,2024-06-03,08:00,17:00
10032,2024-06-04,08:00,17:00
10032,2024-06-05,08:00,17:00
10032,2024-06-06,08:00,17:00
10032,2024-06-07,08:00,17:00
10032,2024-06-10,08:00,17:00
10032,2024-06-11,08:00,17:00
10032,2024-06-12,08:00,17:00
10032,2024-06-13,08:00,17:00
10032,2024-06-14,08:00,17:00
10033,2024-06-03,08:00,17:00
10033,2024-06-04,08:00,17:00
10033,2024-06-05,08:00,17:00
10033,2024-06-06,08:00,17:00
10033,2024-06-07,08:00,17:00
10033,2024-06-10,08:00,17:00
10033,2024-06-11,08:00,17:00
10033,2024-06-12,08:00,17:00
10033,2024-06-13,08:00,17:00
10033,2024-06-14,08:00,17:00
10034,2024-06-03,08:00,17:00
10034,2024-06-04,08:00,17:00
10034,2024-06-05,08:00,17:00
10034,2024-06-06,08:00,17:00
10034,2024-06-07,08:00,17:00
10034,2024-06-10,08:00,17:00
10034,2024-06-11,08:00,17:00
10034,2024-06-12,08:00,17:00
10034,2024-06-13,08:00,17:00
10034,2024-06-14,08:00,17:00
